#temps  Wn_tot  -Wt_tot  Wp_tot  Wint_tot  KEr_tot  
0.68 0.00433756 0.631567 5.85899 3.72226 0.345763
0.682 0.00434046 0.632149 5.86277 3.72472 0.34588
0.684 0.00434447 0.632727 5.86652 3.72714 0.345983
0.686 0.00434821 0.633303 5.87026 3.72957 0.346092
0.688 0.00435054 0.633877 5.87396 3.73197 0.346195
0.69 0.00435553 0.63445 5.87763 3.73436 0.346311
0.692 0.00436064 0.635017 5.88127 3.73672 0.34641
0.694 0.00436816 0.635585 5.88489 3.73908 0.346524
0.696 0.00437361 0.636148 5.88847 3.7414 0.346625
0.698 0.00437863 0.636708 5.89203 3.74372 0.34672
0.7 0.00438293 0.637264 5.89557 3.74602 0.346822
0.702 0.00438754 0.637817 5.89908 3.74829 0.346908
0.704 0.00439159 0.638367 5.90257 3.75056 0.347015
0.706 0.00439493 0.638912 5.90603 3.75281 0.347104
0.708 0.00440007 0.639455 5.90947 3.75504 0.347202
0.71 0.00440356 0.639992 5.91288 3.75726 0.347289
0.712 0.00440771 0.640528 5.91628 3.75946 0.347379
0.714 0.00441168 0.64106 5.91965 3.76166 0.347469
0.716 0.0044168 0.641588 5.923 3.76384 0.347556
0.718 0.00442165 0.642115 5.92634 3.76601 0.34764
0.72 0.0044263 0.642636 5.92965 3.76817 0.347716
0.722 0.00443045 0.643155 5.93295 3.77032 0.347796
0.724 0.00443412 0.643672 5.93624 3.77246 0.347866
0.726 0.00443841 0.644184 5.93951 3.77459 0.347935
0.728 0.00444162 0.644694 5.94276 3.77672 0.348005
0.73 0.00444534 0.645201 5.946 3.77883 0.348065
0.732 0.00444881 0.645704 5.94924 3.78094 0.348125
0.734 0.00445141 0.646205 5.95246 3.78304 0.348186
0.736 0.00445475 0.646703 5.95567 3.78512 0.348239
0.738 0.00445805 0.647197 5.95887 3.78721 0.348294
0.74 0.00446082 0.647689 5.96205 3.78928 0.348348
0.742 0.00446403 0.648178 5.96523 3.79135 0.348396
0.744 0.00446681 0.648663 5.9684 3.79341 0.348445
0.746 0.00446953 0.649146 5.97157 3.79547 0.348495
0.748 0.00447186 0.649626 5.97472 3.79751 0.348539
0.75 0.00447382 0.650102 5.97786 3.79956 0.348582
0.752 0.00447616 0.650576 5.981 3.80159 0.348625
0.754 0.00447778 0.651046 5.98413 3.80362 0.348662
0.756 0.00447906 0.651513 5.98726 3.80564 0.348701
0.758 0.00448074 0.651978 5.99037 3.80766 0.34874
0.76 0.00448318 0.65244 5.99348 3.80967 0.348777
0.762 0.00448553 0.652899 5.99658 3.81167 0.348812
0.764 0.00448783 0.653354 5.99968 3.81367 0.348846
0.766 0.00448992 0.653807 6.00277 3.81566 0.348879
0.768 0.00449197 0.654255 6.00585 3.81764 0.34891
0.77 0.0044946 0.654701 6.00894 3.81962 0.348939
0.772 0.00449666 0.655145 6.01201 3.8216 0.348968
0.774 0.00449882 0.655586 6.01509 3.82357 0.348995
0.776 0.00450066 0.656025 6.01816 3.82553 0.349024
0.778 0.00450296 0.656462 6.02122 3.82749 0.349055
0.78 0.00450609 0.656898 6.02429 3.82945 0.34909
0.782 0.00450878 0.657331 6.02734 3.8314 0.349123
0.784 0.00451062 0.657763 6.0304 3.83335 0.349154
0.786 0.00451254 0.658193 6.03345 3.83529 0.349183
0.788 0.00451435 0.658622 6.0365 3.83723 0.349212
0.79 0.00451631 0.659049 6.03955 3.83916 0.349241
